theme,tweets
AntiDemocraticCandidates,"""If we lose freedom of speech in America, then there is nothing left to fight for. Once we lose that, they're going to take everything away from us.""

When Chavez took power, Maria Bello’s family went from the middle class to standing in long food lines. Maria had never experienced freedom until she escaped socialism in Venezuela and came to the United States. Now she fights for freedom here by boldly speaking the truth about socialism—and how it destroys lives. Watch her extraordinary story of her fight for freedom."
RenewableEnergyGrowth,"""Investments in infrastructure will help untie the knot between carbon dioxide emissions and a healthy economy, helping the economy grow while emissions decline."". "
OilAndGasExtractionRisks,"The Petroleum Alliance of Oklahoma has named Keith Beall as its senior vice president of government affairs and public policy. In his new role, Beall will lead The Alliance’s advocacy efforts on behalf of the state’s oil and natural gas industry at the state Legislature and in Washington, D.C.

Petroleum Alliance President Brook Simmons said,: ""Keith’s extensive experience in the highest levels of government make him a valuable addition to The Alliance staff.""

Read more: https://bit.ly/3rs7pfW. "
ReduceEmissions,One thing everyone can agree on: all Illinois citizens deserve clean air.
BuildBetterAct,"LCV is so committed to ensuring that the budget reconciliation package, also known as the Build Back Better Act, includes the climate, clean energy, jobs, and justice provisions that we’ve been fighting for, that our political committee, LCV Action Fund, will only consider endorsements for members of Congress who support a final reconciliation package that enables the U.S. to cut its carbon pollution in half by 2030."
NuclearEnergyBenefits,"America can compete with China if we invest in clean energy, but unless we change, we will fall behind."
ClimateChangeDonations,"Charlie Kirk Is So Right... Conservatives Are Pro-Science, While Leftists Are Pro-Panic! Climate Change Is A HOAX! #ThinkForYourself. "
RenewableEnergyInfrastructureGrowth,Fact check: Will the Clean Energy Corridor's hydro power really be dirtier than coal? No. Independent local scientists did the math and debunked this claim.
OilAndGasJobs,"""The energy industry directly employs 400,000 Texans and indirectly employs over a million,"" said Land Commissioner George P. Bush as he visited Midland to shed some light on the impact of Biden's climate change agenda on our oilfield workers."
NuclearEnergyEducation,"“Kim McCarthy is an endorsement that doesn't deliver” She is toxic and a hate filled divider, only interested in acquiring political power.

Every single candidate that Kim McCarthy endorsed for local office (in Bellbrook and Sugarcreek) lost. 

McCarthy lives in Sugarcreek township. This is the 3rd time on the Sugarcreek ballot for office. 

Twice as State Representative, once as a township trustee. All three times overwhelming rejected by the voters.

Her anti-everyone,and everything America  approach, has run out of steam. 

Her support is waning and weakened by repeated failures. Too far left she doesn't included people she disagrees with, which is why she can't win. 

Known for having thin skin.
It is hard to figure out her dislike for American values.

Every. SINGLE. ONE. Of her endorsements lost. That says it all.¹

(¹Photo is of a Sugarcreek township resident- who is alo Kim McCarthy supporter - holding a  Meridith Brinegar sign in Bellbrook. Brinegar lost also. Township residents can not vote for Bellbrook candidates). "
RestoreVirginia,"Your legislator, Representative Kerry TIpper, was a champion for Colorado’s rivers this legislative session! That means a stronger economy, better resiliency in the face of climate change, and restoring our rivers. Show your support for our rivers by signing our card today!"
VirginiaConservativeCampaign,"This week's video outreach topic - Freedom for the Farmers and the Impact of the ""Regulation of Interstate Commerce"" provision of the U.S. Constitution. Barry Goldwater's Conscience of a Conservative. Host the Chairwoman. The views expressed are her own with a conservative lens."
SouthwestGasInvestment,The people of Oklahoma Oil & Natural Gas have provided nearly $3 million to the great works of Allied Arts in 2020 alone.
OilAndGasTax,"Our families cannot afford another new tax. Rally with us to stop the proposed new CT gas tax and sign the petition at www.StoptheGasTaxCT.com. 

Some lawmakers in Hartford are pushing for a vote this month on a $100 million new state gas tax.

Families are already hurting from rising prices on gas and food. A new gas tax only worsens that situation. It also could lead to a gasoline shortage that will be devastating to CT jobs and our recovery. The facts show this new tax won’t improve our aging transportation infrastructure or our air quality as promised.

Your voices stopped the tax earlier this year. Keep speaking out! Learn more: www.StoptheGasTaxCT.com. "
NeedQuickResponseForClimateCrisis,Governor Inslee just signed the most ambitious limit on climate pollution in the country. Can Governor Brown keep up?
AgencyToStopClimateChange,"Rep. Lee, thank you for fighting for clean energy that can power our economy, create good-paying jobs, and tackle the climate crisis. This is our moment to get it done and pass the Build Back Better Act."
PoliticalActivismForRenewableEnergy,"Governor Janet Mills voted NO on Question 1. ""Fundamentally, for me, it’s not about CMP. It’s about climate change. We need clean energy. We need reliable electricity. We’ve got to turn down the furnace and we’ve got to say no to fossil fuels.""
https://www.maine.gov/governor/mills/news/radio_address/governor-mills-why-i-voted-no-question-one-2021-10-28. "
EconomicAdvantagesOfRenewableEnergy,"Biofuels burn cleaner and cooler than gasoline.

A simple move to 15% ethanol blended fuel nationwide would reduce carbon emissions by almost 20 million tons per year -- the equivalent of removing 3.85 million cars off the road."
ChallengesFacingRenewableEnergy,"Government-Controlled Power creates a quasi-government entity to borrow $13.5 billion from big banks. Guess who's on the hook to pay it all back?

Find out more: www.maineaffordableenergy.org. "
ProtectFromHarmsCausedByFossilFuels,"FYI – Government-Controlled Power comes with a price tag of $13,500,000,000. Get the facts: www.maineaffordableenergy.org. "
InroadsMadeByRenewableEnergy,"Her future will be here in a blink, and we're working hard to make it one with net-zero carbon emissions."
CallsToInvestInRenewableEnergy,Boston is already a leader in #ClimateAction. Now it’s time to level up. Just a few thousand of Boston’s largest buildings account for nearly 50% of the city’s emissions! Reducing reliance on carbon emitting fossil fuels is the logical next step.
PoliticalActivismForOilAndGas,"With the radical Build Back Better agenda stalled in the Senate, our nation has dodged a bullet on a new natural gas tax, amnesty for millions of illegal immigrants, tax-payer funded abortions, radical Green New Deal policies, and much more.
 
President Biden's Build Back Better agenda would have only exacerbated the problems facing Kansas families.

https://www.foxbusiness.com/politics/manchin-offshore-drilling-ban-bbb-saving-us-disaster-experts.amp. "
SupportForRenewableEnergy,"Oil prices jumped again Monday after OPEC decided not to boost production. Now is more important than ever to diversify our power sources. Vote NO on Question 1 and reduce Maine’s dependence on dirty, expensive fossil fuels."
SupportForOilAndGas,Our environmental and economic challenges demand an all-hands-on-deck approach and the #natgas industry is all in. Learn about our commitment to a cleaner #energy future from our President and CEO Karen Harbert along with our Board Chair and NW Natural CEO David Anderson:. 
DonateToSupportClimateChangeActivism,"News alert from Reuters: “UN warns of climate ‘abyss’ as 2020 confirmed as one of 3 hottest years on record”

Families already facing conflict, poverty, and other crises are the most vulnerable to the effects of climate change. Mercy Corps is helping communities around the world build resilience to withstand changing weather patterns and take on these challenges. Are you with us? Add your name to show your support for communities most deeply affected by the climate crisis."
InroadsMadeByOilAndGas,"Not interested in solar? We get it!

Join over 20,000 of your neighbors, who also weren’t interested in solar, that have gotten estimates from us!"
EconomicAdvantagesOfOilAndGas,The main components in our skis and snowboards are made with oil and natural gas. Colorado oil and gas has been fueling outdoor recreation in our state since 1860.
SupportForBuildBackBetterAct,"We’re one step closer to tackling the climate crisis, now we’re counting on Representative Schrader to keep his promise and vote YES on the Build Back Better Act next week. Tell Rep. Schrader it’s time to finish the job - our climate can’t wait."
SupportForNuclearEnergy,It will be a lot easier for Maryland to meet its ambitious climate and clean energy goals with nuclear power in the mix. Follow our page to find out why.
EconomicAdvantagesOfNuclearEnergy,"Supporting 475,000 jobs and preventing 470 million metric tons of carbon dioxide emissions from polluting the atmosphere – it’s all in a day’s work for nuclear energy. Sign up to support the clean energy jobs nuclear energy already provides."
InroadsMadeByNuclearEnergy,"In every season and in all kinds of weather, we can count on nuclear power to keep the lights on."
